"03/04",440
"03/05",882
"03/06",901
"03/07",408
"03/08",508
"03/09",2359
"03/10",6105
"03/11",10619
"03/12",5823
"03/13",5712
"03/14",2333
"03/15",2457
"03/16",4647
"03/17",4207
"03/18",3387
"03/19",3657
"03/20",4366
"03/21",2028
"03/22",1882
"03/23",3847
"03/24",3178
"03/25",3212
"03/26",4008
"03/27",3695
"03/28",2022
"03/29",2197
"03/30",3458
"03/31",3520
"04/01",3644
"04/02",8911
"04/03",8218
"04/04",9957
"04/05",5559
"04/06",6377
"04/07",6169
"04/08",5478
"04/09",5775
"04/10",4931
"04/11",2340
"04/12",2239
"04/13",4430
"04/14",4371
"04/15",4911
"04/16",4418
"04/17",4574
"04/18",1904
"04/19",2011
"04/20",3775
"04/21",4253
"04/22",4086
"04/23",3523
"04/24",3727
"04/25",1451
"04/26",1663
"04/27",2641
"04/28",2282
"04/29",2634
"04/30",2869
"05/01",2013
"05/02",1317
"05/03",1336
"05/04",2124
"05/05",2018
"05/06",1906
"05/07",2121
"05/08",2393
"05/09",1097
"05/10",1003
